,,,Coverage,Coverage,Coverage,Average width,Average width,Average width,Spearman Correlation,Spearman Correlation,Spearman Correlation
,,,0.9,0.95,0.99,0.9,0.95,0.99,0.9,0.95,0.99
GP,0.5,1.0,0.9333333333333333,0.9666666666666667,0.9833333333333333,0.16606456537219175,0.19787813450673433,0.26005595072893584,0.11904662413801516,0.11904662413801516,0.11904662413801516
GP,1.5,1.0,0.9083333333333333,0.9333333333333333,0.9583333333333334,0.126512615613042,0.15074907950994085,0.19811787336278644,0.21348577862471102,0.21348577862471102,0.21348577862471102
GP,2.5,1.0,0.8583333333333333,0.9166666666666666,0.9583333333333334,0.11684827409070442,0.13923330630817407,0.18298358196758258,0.2526499400091877,0.2526499400091877,0.2526499400091877
J+,0.5,1.0,0.875,0.9416666666666667,0.9916666666666667,0.1380270165790572,0.17740505903878337,0.31922606274916376,-0.06131356647420531,-0.11800804818106489,0.07480424244758936
J+,1.5,1.0,0.9166666666666666,0.95,0.9833333333333333,0.1429756967728128,0.1834097701433069,0.3122883112622771,-0.06671622040158358,-0.26016860717963886,-0.08531123714482297
J+,2.5,1.0,0.9083333333333333,0.9583333333333334,0.9833333333333333,0.14244934288282476,0.1797757995637075,0.2921111876530178,-0.20258832668732188,-0.16663820228627357,0.09132341755943782
J-minmax,0.5,1.0,0.9083333333333333,0.9583333333333334,0.9916666666666667,0.15371350503169504,0.19350932667823842,0.33700158950258746,0.06802124820552416,0.06802124820552416,0.06802124820552416
J-minmax,1.5,1.0,0.9583333333333334,0.975,0.9916666666666667,0.16790948992465574,0.21011372905117726,0.3403286801206853,0.20845125723003413,0.20845125723003413,0.20845125723003413
J-minmax,2.5,1.0,0.9583333333333334,0.9583333333333334,0.9916666666666667,0.17283492616206933,0.20792574658681875,0.3212424465605842,0.26567847284678814,0.26567847284678814,0.26567847284678814
J+GP,0.5,0.5,0.8833333333333333,0.9416666666666667,0.9916666666666667,0.13811976067050502,0.17284375931333662,0.3160908056466406,0.11665454395484907,0.12496164616127604,0.1621166188496069
J+GP,0.5,1.0,0.8833333333333333,0.9416666666666667,0.9833333333333333,0.1376164251566518,0.17162572516161728,0.30189319966588724,0.11068617188018438,0.12483858083413138,0.13118943673910463
J+GP,0.5,1.5,0.8666666666666667,0.9333333333333333,0.9833333333333333,0.13405896251468202,0.1691260944009846,0.28410294549241294,0.11487465974105608,0.12202172152103688,0.11754826120048184
J+GP,1.5,0.5,0.9,0.9666666666666667,0.9833333333333333,0.13309243652233524,0.17293104861616962,0.2737655442497998,0.208392220687442,0.224508425915989,0.2063213949149795
J+GP,1.5,1.0,0.9166666666666666,0.9583333333333334,0.9833333333333333,0.13121066724827724,0.1666482474550759,0.2593142118388243,0.2133860878321048,0.22029593477631207,0.21131414789569283
J+GP,1.5,1.5,0.9,0.95,0.975,0.1332036388556763,0.17206238236461951,0.2564061227587702,0.21521036616204126,0.21067601867128025,0.20601057549694363
J+GP,2.5,0.5,0.8833333333333333,0.9666666666666667,0.9833333333333333,0.1340958800656837,0.17692519903645393,0.2608425146693687,0.24471133512241505,0.24677693700242934,0.2713458030551718
J+GP,2.5,1.0,0.9166666666666666,0.9583333333333334,0.975,0.1388286528149713,0.17381505095143968,0.2615936669313805,0.26071266990442804,0.25862199475754755,0.25714538962085226
J+GP,2.5,1.5,0.9166666666666666,0.9416666666666667,0.9666666666666667,0.1452707429969804,0.18311156386542476,0.2494071496770145,0.2562599541988197,0.24775439258211074,0.2573829240529543
J-minmax-GP,0.5,0.5,0.9,0.9583333333333334,0.9916666666666667,0.153595769153784,0.1888570595014117,0.33392518602507276,0.12596579850423403,0.1321232166456396,0.14586071429126943
J-minmax-GP,0.5,1.0,0.9166666666666666,0.95,0.9916666666666667,0.1538629871694983,0.18751024999348734,0.3186054008417564,0.14540109152386002,0.14790520290461598,0.1503899059291379
J-minmax-GP,0.5,1.5,0.9083333333333333,0.95,0.9833333333333333,0.15038479641685457,0.1844474939856924,0.3000363269141891,0.1477885293650247,0.1496601345365896,0.14741401274471125
J-minmax-GP,1.5,0.5,0.95,0.975,0.9833333333333333,0.15772774497093284,0.19647982652175575,0.30039579848646697,0.2593556856810164,0.26360693158122206,0.26449323629488797
J-minmax-GP,1.5,1.0,0.95,0.9666666666666667,0.9833333333333333,0.15676876519883265,0.19231423908939274,0.283368058783027,0.2593772324371683,0.25957170885785263,0.252685635952136
J-minmax-GP,1.5,1.5,0.9416666666666667,0.975,0.9833333333333333,0.1580254815440521,0.19682321926449925,0.27963359493302525,0.25589710694521334,0.25133127618328927,0.2405301271444705
J-minmax-GP,2.5,0.5,0.95,0.9666666666666667,0.9833333333333333,0.161893958119364,0.207586584505581,0.2870586515816991,0.29963409184363987,0.3057771286844006,0.30108006124014813
J-minmax-GP,2.5,1.0,0.95,0.9583333333333334,0.9916666666666667,0.16640956654560318,0.20274183377627336,0.29027517611967735,0.2979926697889899,0.2919052454696299,0.28522614160015625
J-minmax-GP,2.5,1.5,0.95,0.9666666666666667,0.975,0.17382002799806873,0.2128369942027161,0.27445437556851043,0.287780258880815,0.2816363641002767,0.2771259464351945
